Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - Listar reservas,500,4,4,6,6,8,2,9,0.000%,25.44918,22.09,3.75
TOTAL,500,4,4,6,6,8,2,9,0.000%,25.44918,22.09,3.75
