Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - Listar reservas,100,4,2,8,1.52,0.000%,10.49318,9.11,1.55,889.0
TOTAL,100,4,2,8,1.52,0.000%,10.49318,9.11,1.55,889.0
