Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - Listar reservas,500,4,2,9,1.10,0.000%,25.44918,22.09,3.75,889.0
TOTAL,500,4,2,9,1.10,0.000%,25.44918,22.09,3.75,889.0
