Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - Listar reservas,1500,4,4,6,7,8,2,12,0.000%,50.34402,43.71,7.42
TOTAL,1500,4,4,6,7,8,2,12,0.000%,50.34402,43.71,7.42
